Hex signature,ISO 8859-1,Offset,Extension,Description,
07 53 4B 46,.SKF,0,skf,SkinCrafter skin file,
07 64 74 32 64 64 74 64,.dt2ddtd,0,dtd,DesignTools 2D Design file,
0A 16 6F 72 67 2E 62 69 74 63 6F 69 6E 2E 70 72,..org.bitcoin.pr,0,wallet,MultiBit Bitcoin wallet file,
0D 44 4F 43,.DOC,0,doc,DeskMate Document file,
0E 4E 65 72 6F 49 53 4F,.NeroISO,0,nri,Nero CD Compilation,
0E 57 4B 53,.WKS,0,wks,DeskMate Worksheet,
0F 53 49 42 45 4C 49 55 53,.SIBELIUS,0,sib,Sibelius Music - Score file,
23 20 4D 69 63 72 6F 73 6F 66 74 20 44 65 76 65 6C 6F 70 65 72 20 53 74 75 64 69 6F,# Microsoft Developer Studio,0,dsp,Microsoft Developer Studio project file,
23 21 41 4D 52,#!AMR,0,amr,"Adaptive Multi-Rate ACELP (Algebraic Code Excited Linear Prediction) Codec, commonly audio format with GSM cell phones.",
23 21 53 49 4C 4B 0A,#!SILK.,0,sil,Audio compression format developed by Skype,
23 3F 52 41 44 49 41 4E 43 45 0A,#?RADIANCE.,0,hdr,Radiance High Dynamic Range image file,
23 40 7E 5E,#@~^,0,vbe,VBScript Encoded script,
0D F0 1D C0,␍ð�À,0,cdb,MikroTik WinBox Connection Database (Address Book),
3C 73 76 67,<svg,0,svg,,
